"Dataset reference","Publication reference(s)","Dataset full citation","Dataset name","Link to dataset","Condition / focus","Condition / focus (detailed)","Country","Collected where? (site)","Year Publication","Ethics","Access type",,"Licence","Dataset explanation? (how to use, what is in it, README file, etc)","README","doc file organization","filenames descriptive","Protocol","Recording protocol available","Code recording protocol / stimuli","Code data analysis","Notes","Population","Number of subjects","# of classes","Data modalities contained (cleaned)","Data: demographic","Data: clinical history","Data: psychometric / psychological","Data: physiological","Data: other","Device used","Form factor","Number of channels","Electrodes location","Sampling frequency (Hz)","Format","Number of recording sessions","Type of recording (resting, EVP, etc)","Recording protocol available","Epochs / time / trials /etc","Annotation / Ground-truth","EEG data preprocessing?",,"F (out of 7)","A (out of 3)","I (out of 4)","R (out of 20)","FAIR (out of 24)"
"10.6084/m9.figshare.12115773.v1","10.3389/fnhum.2020.00322","""Breitling, Carolin; Tegelbeckers, Jana; Flechtner, Hans-Henning; Krauel, Kerstin (2020): EEG raw data - Economical Assessment of Working Memory and Response Inhibition in ADHD. figshare. Dataset. https://doi.org/10.6084/m9.figshare.12115773.v1 ""","EEG raw data - Economical Assessment of Working Memory and Response Inhibition in ADHD","https://figshare.com/articles/dataset/EEG_raw_data_-_Economical_Assessment_of_Working_Memory_and_Response_Inhibition_in_ADHD/12115773/1","ADHD",,"Germany","Otto-von-Guericke University Magdeburg",2020,"Yes","Open",,"CC BY 4.0","No","no","no","yes","Yes (publication)","publication","no","no",,"34 ADHD, 25 HC (all aged 9-16yr)",59,2,"EEG","n/d",,,,,"SynAmps amplifier","cap",21,"ref linked mastoids, ground Afz, 4 EOG",500,".cnt",1,"task: n-back/nogo","publication","5s / trial","stim","HPF 0.05 Hz, LPF 70 Hz, notch 50 Hz",,7,2,3,4,16
"10.5281/zenodo.4316608","10.3390/brainsci10060392","""Ioulietta Lazarou, Kostas Georgiadis, Spiros Nikolopoulos, Vangelis Oikonomou, & Ioannis Kompatsiaris. (2020). Resting-State High-Density EEG using EGI GES 300 with 256 Channels of Healthy Elders, People with Subjective and Mild Cognitive Impairment and Alzheimer's Disease [Data set]. In Brain Science MDPI (Vol. 10, Number 6, p. 392). Zenodo. https://doi.org/10.5281/zenodo.4316608""","Resting-State High-Density EEG using EGI GES 300 with 256 Channels of Healthy Elders, People with Subjective and Mild Cognitive Impairment and Alzheimer's Disease","https://zenodo.org/record/4316608","Alzheimer's Disease","Mild cognitive impairment and Alzheimer's Disease","Greece","Aristotle University of Thessaloniki",2020,"Yes","Restricted","Request via email","CC BY 4.0","No","no","no","no","Yes","publication","n/a","no","4 samples only in the open, need to request full data via email","34 SCD, 79 MCI, 48 AD, 33 HC",230,"4: Alzheimer's Disease (AD), mild cognitive impairment (MCI), subjective cognitive decline (SDC), healthy controls (HC)","EEG","n/d: age, gender, years of education","diagnosis (class)","n/d",,,"EGI 300 Geodesic EEG system","cap",256,"ref Cz, ground Afz",250,".mat",1,"resting","publication","2-3min EC, EO (eyes closed, open) each","stim","n/d",,7,3,3,4,17
"10.15131/shef.data.16840351.v1","10.1037/abn0000436 10.1016/j.cortex.2021.09.022 (dataset 1)","""Milne, Elizabeth (2021): EEG Data for """"Electrophysiological signatures of brain aging in autism spectrum disorder"""". The University of Sheffield. Dataset. https://doi.org/10.15131/shef.data.16840351.v1 ""","EEG Data for """"Electrophysiological signatures of brain aging in autism spectrum disorder""""","https://figshare.shef.ac.uk/articles/dataset/EEG_Data_for_Electrophysiological_signatures_of_brain_aging_in_autism_spectrum_disorder_/16840351/1","Autism Spectrum Disorder",,"UK","University of Sheffield",2021,"Yes","Open",,"CC BY 4.0","No","no","no","no","Somewhat","publication","n/a","no","No info on which files are from which group","28 ASD, 28 HC",56,"no information on which subjects are in each category","EEG","no other data",,,,,"Biosemi Active two EEG system","n/d",64,"ref free?",2048,".set + .fdt",1,"resting","publication","150s","none","n/d",,7,2,3,4,16
"10.6080/k0zc811b","10.1016/j.cub.2017.05.046","""Johnson E. L. (2017); 64-channel human scalp EEG from 14 unilateral PFC patients and 20 healthy controls performing a lateralized visuospatial working memory task. CRCNS.org""","PFC-5 CRCNS","http://crcns.org/data-sets/pfc/pfc-5/about-pfc-5","Brain Injury","Unilateral prefrontal cortex lesions","USA, Norway","University of California, Berkeley, and Oslo University Hospital",2017,"Yes","Credentialed","Need account to download","n/d","Yes","yes","yes","yes","Yes (publication)","publication + file (dataset)","no","yes",,"14 patients PCF lesions, 20 HC",34,2,"EEG","n/d",,,,,"64 + 8 channel BioSemi ActiveTwo amplifier with Ag-AgCl pin-type active electrodes","cap","64+8","ref earlobes, 2 EOG",1024,".bdf",1,"task: working memory","publication + file (dataset)","240 trials, ~3500ms each","stim","raw, preprocessed",,6,1,1,2,10
"10.18112/openneuro.ds003522.v1.1.0","10.1016/j.neuropsychologia.2019.107125","""James F Cavanagh and Davin Quinn (2021). EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI. OpenNeuro. [Dataset] doi: 10.18112/openneuro.ds003522.v1.1.0""","EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI","https://openneuro.org/datasets/ds003522/","Brain Injury","Traumatic Brain Injury (Acute and Chronic)","USA","University of New Mexico Health Sciences Center",2021,"Yes","Open",,"CC0","No","yes","no","yes","Yes (publication)","publication","yes","yes",,"38 sub-acute mTBI, 23 chronic TBI, 24 HC",96,2,"EEG","age, gender, ethnicity, handedness, years education","injury details, Glasgow Coma Scale","neuropsychological assessments: NSI, BDI (depression), FeSBe, memory test, TOPF, WAIS IV, HVLT-R",,,"Brain Vision","n/d",64,"ref CPz, ground Afz, VEOG",500,".set + .fdt",3,"task: AEVP","publication","260 trials, ~16min","stim","BPF 0.1-100 Hz",,5,1,1,3,10
"10.34894/EOZLXH","10.1038/s41598-022-08742-8","""Van Laarhoven, Antoinette; Millard, Samantha; Bokelmann, Klara; Schalbroeck, Rik; Van der Wee, Nic; Van Loey, Nancy, 2022, """"No indications for altered EEG oscillatory activity in patients with chronic post-burn itch compared to healthy controls"""", https://doi.org/10.34894/EOZLXH, DataverseNL, V1 ""","No indications for altered EEG oscillatory activity in patients with chronic post-burn itch compared to healthy controls","https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/EOZLXH","Chronic Post-Burn Itch",,"Netherlands",,2022,"Yes","Restricted","need to request access for some of the files","CC BY 4.0","Yes","yes","yes","yes","Yes","publication","no","yes","Has all the code used in analysis","15 patients, 14 HC",29,2,"EEG","data restricted",,,,,"ActiveTwo BioSemi system","cap",32,"ref DRL+CMS, EOG and mastoids",1024,".bdf",1,"resting, stim","publication","6 min rest + stims (?)","stim","raw, preprocessed",,6.5,1,3,5,15.5
"10.18112/openneuro.ds003478.v1.1.0","10.1162/cpsy_a_00024","""James F Cavanagh jcavanagh@unm.edu (2021). EEG: Depression rest. OpenNeuro. [Dataset] doi: 10.18112/openneuro.ds003478.v1.1.0""","EEG: Depression rest","https://openneuro.org/datasets/ds003478/","Depression",,"USA","University of Arizona",2021,"Yes","Open",,"CC0","No","yes","no","yes","Yes (publication)","publication","yes","yes","Very few info (1 paragraph)","75 HC, 46 depressive symptom group",122,"4: MDD (diagnosed), past MDD, no MDD dgx met, not tested for MDD","EEG","age, gender",,"BDI, Anhedonia, Melancholia, TAI",,,"SynAmps amplifier","n/d",64,"ref Cz/CPz",500,".set + .fdt",1,"rest","publication","6 min (EO, EC)","none","BPF 0.1-100 Hz + channels interpolation (no raw data available)",,5,1,1,3,10
"10.5255/UKDA-SN-854301","10.1038/s41597-022-01211-x","""Hu, Bin (2022). Multi-modal Open Dataset for Mental-disorder Analysis, Experimental Data 2014-2016. [Data Collection]. Colchester, Essex: UK Data Service. 10.5255/UKDA-SN-854301""","Multi-modal Open Dataset for Mental-disorder Analysis, Experimental Data 2014-2016","https://reshare.ukdataservice.ac.uk/854301/ https://modma.lzu.edu.cn/data/application/","Depression",,"China","Lanzhou University Second Hospital",2022,"Yes","Open",,"n/d","Yes","yes","yes","yes","Yes (publication)","publication + file (dataset)","no","no",,"24 patients (depression), 29 HC",53,2,"EEG, audio","yes","n/d","psychological assessment",,"behavioural data","HydroCel Geodesic Sensor Net, 24bit A/D conv","cap, free electrodes","128, 3","ref Cz, 3 = Fp1 Fp2 Fpz",250,".mff , .txt",1,"resting, task","publication + file (dataset)","3 blocks of 160 trials, total ~25 min","stim","raw",,6,1.5,3,2,12.5
"10.18112/openneuro.ds003474.v1.1.0",,"""James F Cavanagh jcavanagh@unm.edu (2021). EEG: Probabilistic Selection and Depression. OpenNeuro. [Dataset] doi: 10.18112/openneuro.ds003474.v1.1.0""","EEG: Probabilistic Selection and Depression","https://openneuro.org/datasets/ds003474/","Depression",,"USA","University of Arizona",2022,"Yes","Open",,"CC0","No","yes","no","yes","Yes (publication)","publication","yes","yes","Some EEG data have been interpolated","76 HC, 46 depressive symptom group",123,"4: MDD (diagnosed), past MDD, no MDD dgx met, not tested for MDD","EEG","age, gender",,"BDI, Anhedonia, Melancholia, TAI",,,"SynAmps amplifier","n/d",64,"ref Cz/CPz",500,".set + .fdt",1,"task: learning","publication","training : ~5s/stim, testing: 8 x [all stim pairs] (120 trials total)","stim","BPF 0.1-100 Hz + channels interpolation (no raw data available)",,5,1,1,3,10
"10.13016/m2599z52h","10.1152/jn.00372.2016","""A. Presacco, J. Simon, S. Anderson. """"EEG_MEG"""" (2018) [Dataset]. In Digital Repository at the University of Maryland. https://doi.org/10.13016/M2599Z52H""","EEG_MEG","https://drum.lib.umd.edu/handle/1903/21184","Hearing Impairment",,"USA","University of Maryland",2018,"Yes","Open",,"n/d","Yes","no","no","yes","No","somewhat","yes","no",,"17 normal hearing younger adults (18-30), 14 normal hearing older adults (>=60), 17 hearing impaired older adults (>= 60)",48,"3: younger, older normal hearing, older hearing impaired","EEG, MEG","n/d",,,,"9 conditions: Quiet, +3 dB, 0 dB, -3 dB and -6 dB with English (H) and Dutch (L) speakers used as background noise","Biosemi ActiABR-200","cap",5,"Cz, ground 2 forehead, 1 leg, earlobe ref",16384,".bdf",1,"resting","somewhat","~1h per recording","stim","n/d",,5.5,0,1,2,8.5
